index,Target,RandomForestClassifier,AdaBoostClassifier,GradientBoostingClassifier,LogisticRegression,KNeighborsClassifier,GaussianNB
2239,0.0,0.03,0.42,0.02,0.01,0.0,0.0
472,0.0,0.35,0.49,0.3,0.46,0.46,1.0
3474,0.0,0.18,0.48,0.18,0.17,0.29,1.0
6022,0.0,0.1,0.45,0.07,0.13,0.04,0.0
2385,0.0,0.37,0.49,0.37,0.36,0.29,0.99
5543,0.0,0.28,0.49,0.4,0.46,0.5,1.0
3452,0.0,0.53,0.51,0.57,0.4,0.58,1.0
6257,1.0,0.67,0.53,0.77,0.72,0.71,1.0
3273,1.0,0.36,0.49,0.33,0.37,0.54,1.0
1293,0.0,0.15,0.45,0.06,0.05,0.17,0.0
1097,1.0,0.33,0.48,0.24,0.43,0.5,1.0
5132,0.0,0.13,0.44,0.07,0.04,0.12,0.03
4422,0.0,0.28,0.47,0.24,0.36,0.29,0.92
4309,0.0,0.51,0.49,0.41,0.56,0.5,1.0
4340,0.0,0.34,0.49,0.41,0.27,0.25,0.99
3283,0.0,0.01,0.43,0.02,0.01,0.0,0.0
2271,0.0,0.53,0.5,0.5,0.58,0.62,1.0
1206,0.0,0.66,0.51,0.66,0.69,0.62,1.0
4074,1.0,0.56,0.51,0.56,0.47,0.62,1.0
343,0.0,0.02,0.42,0.01,0.01,0.04,0.0
4013,0.0,0.41,0.49,0.57,0.39,0.38,1.0
1272,0.0,0.14,0.47,0.15,0.13,0.12,0.0
670,0.0,0.05,0.43,0.04,0.02,0.04,0.0
4190,1.0,0.45,0.49,0.45,0.49,0.46,0.99
4384,1.0,0.6,0.51,0.71,0.52,0.62,1.0
1141,0.0,0.1,0.46,0.11,0.17,0.08,0.0
4529,0.0,0.31,0.48,0.17,0.25,0.5,1.0
6652,0.0,0.02,0.42,0.02,0.02,0.0,0.0
1504,0.0,0.49,0.5,0.44,0.57,0.58,1.0
2514,1.0,0.65,0.5,0.58,0.67,0.83,1.0
6225,0.0,0.02,0.42,0.03,0.02,0.0,0.0
299,1.0,0.46,0.51,0.59,0.49,0.5,1.0
2384,0.0,0.42,0.49,0.31,0.38,0.46,1.0
3757,0.0,0.07,0.43,0.03,0.03,0.04,0.0
2290,1.0,0.35,0.49,0.49,0.56,0.54,1.0
608,0.0,0.02,0.42,0.04,0.03,0.04,0.0
6173,0.0,0.37,0.48,0.31,0.36,0.71,1.0
2811,0.0,0.01,0.41,0.01,0.01,0.0,0.0
6966,0.0,0.07,0.45,0.08,0.07,0.08,0.0
1781,0.0,0.3,0.48,0.28,0.28,0.33,0.98
219,0.0,0.66,0.5,0.57,0.65,0.75,1.0
1028,1.0,0.52,0.5,0.48,0.58,0.62,1.0
4457,0.0,0.34,0.48,0.19,0.26,0.46,0.99
941,0.0,0.35,0.48,0.33,0.36,0.42,1.0
5734,0.0,0.0,0.41,0.01,0.01,0.0,0.0
5812,1.0,0.75,0.53,0.74,0.64,0.75,1.0
2366,1.0,0.77,0.53,0.8,0.74,0.75,1.0
1213,0.0,0.0,0.41,0.01,0.01,0.0,0.0
4027,1.0,0.36,0.48,0.31,0.43,0.46,1.0
3593,1.0,0.45,0.5,0.39,0.56,0.58,1.0
4315,1.0,0.84,0.53,0.75,0.7,0.79,1.0
4584,0.0,0.05,0.42,0.02,0.01,0.12,0.0
2503,0.0,0.01,0.43,0.03,0.02,0.0,0.0
4607,0.0,0.37,0.5,0.57,0.35,0.25,1.0
3216,1.0,0.57,0.5,0.55,0.28,0.46,1.0
1682,0.0,0.06,0.42,0.04,0.03,0.04,0.0
5918,0.0,0.02,0.41,0.01,0.01,0.0,0.0
6470,0.0,0.26,0.46,0.12,0.18,0.38,0.59
3417,0.0,0.24,0.47,0.17,0.18,0.21,0.79
4208,0.0,0.17,0.45,0.07,0.05,0.0,0.0
2586,0.0,0.12,0.45,0.04,0.04,0.12,0.0
6174,1.0,0.75,0.5,0.62,0.56,0.54,1.0
814,0.0,0.31,0.47,0.24,0.2,0.21,0.0
640,0.0,0.0,0.41,0.01,0.01,0.0,0.0
3762,0.0,0.47,0.49,0.48,0.44,0.54,1.0
324,0.0,0.01,0.43,0.02,0.02,0.0,0.0
3198,0.0,0.24,0.48,0.35,0.32,0.25,0.46
4739,0.0,0.39,0.49,0.46,0.54,0.5,1.0
2615,0.0,0.01,0.41,0.02,0.02,0.0,0.0
1126,1.0,0.43,0.5,0.33,0.49,0.54,1.0
543,1.0,0.7,0.51,0.7,0.69,0.75,1.0
6092,0.0,0.07,0.42,0.02,0.02,0.04,0.0
3722,0.0,0.04,0.44,0.04,0.07,0.04,0.0
5140,0.0,0.87,0.53,0.83,0.81,0.83,1.0
5202,0.0,0.09,0.45,0.05,0.05,0.04,0.0
358,1.0,0.27,0.46,0.13,0.2,0.58,0.97
3392,0.0,0.12,0.45,0.06,0.04,0.0,0.13
2631,1.0,0.83,0.52,0.83,0.83,0.83,1.0
6187,0.0,0.01,0.42,0.02,0.04,0.0,0.0
6489,1.0,0.33,0.49,0.36,0.23,0.29,0.0
396,0.0,0.41,0.49,0.46,0.44,0.54,0.98
4896,0.0,0.21,0.47,0.16,0.23,0.5,1.0
2450,0.0,0.07,0.43,0.07,0.04,0.08,0.0
2187,0.0,0.1,0.44,0.07,0.05,0.04,0.0
5495,1.0,0.38,0.5,0.46,0.55,0.5,1.0
4049,0.0,0.26,0.48,0.35,0.29,0.38,0.97
751,0.0,0.02,0.43,0.02,0.01,0.0,0.0
5653,1.0,0.68,0.51,0.67,0.72,0.79,1.0
4086,0.0,0.03,0.4,0.01,0.01,0.0,0.0
3174,0.0,0.27,0.46,0.15,0.11,0.12,0.07
5385,1.0,0.28,0.49,0.39,0.29,0.42,1.0
3141,1.0,0.54,0.51,0.74,0.6,0.54,1.0
972,0.0,0.03,0.43,0.02,0.02,0.0,0.0
7001,1.0,0.4,0.49,0.37,0.35,0.46,1.0
2605,0.0,0.0,0.43,0.02,0.05,0.0,0.0
5723,0.0,0.19,0.48,0.23,0.16,0.29,1.0
913,0.0,0.03,0.44,0.04,0.07,0.04,0.0
4398,0.0,0.04,0.42,0.02,0.01,0.08,0.0
3848,0.0,0.39,0.49,0.5,0.31,0.29,1.0
2219,0.0,0.57,0.5,0.51,0.67,0.54,1.0
2448,1.0,0.63,0.52,0.78,0.79,0.67,1.0
4847,1.0,0.61,0.5,0.55,0.53,0.75,1.0
2559,0.0,0.06,0.43,0.07,0.05,0.04,0.0
3643,0.0,0.03,0.43,0.03,0.02,0.04,0.0
3945,1.0,0.3,0.48,0.27,0.28,0.12,0.66
6942,0.0,0.0,0.41,0.01,0.01,0.0,0.0
3878,0.0,0.03,0.44,0.04,0.03,0.04,0.0
4555,0.0,0.0,0.42,0.01,0.02,0.0,0.0
2090,0.0,0.21,0.47,0.11,0.11,0.17,0.59
3386,0.0,0.09,0.45,0.06,0.06,0.08,0.01
3960,0.0,0.47,0.5,0.47,0.47,0.42,1.0
2929,0.0,0.06,0.44,0.03,0.04,0.04,0.0
3208,0.0,0.09,0.46,0.08,0.09,0.17,0.03
317,1.0,0.12,0.44,0.07,0.05,0.04,0.0
1934,1.0,0.34,0.5,0.54,0.58,0.46,1.0
4721,1.0,0.35,0.48,0.27,0.18,0.38,0.0
5674,0.0,0.1,0.43,0.02,0.02,0.08,0.0
3146,1.0,0.62,0.51,0.71,0.57,0.67,1.0
3989,0.0,0.37,0.49,0.4,0.48,0.46,1.0
3300,0.0,0.01,0.43,0.03,0.03,0.0,0.0
3832,0.0,0.1,0.46,0.1,0.09,0.08,0.0
2925,0.0,0.21,0.47,0.19,0.11,0.25,0.01
