index,Target,RandomForestClassifier,AdaBoostClassifier,GradientBoostingClassifier,LogisticRegression,KNeighborsClassifier,GaussianNB
1129,0.0,0.04,0.46,0.16,0.03,0.0,0.02
2927,0.0,0.01,0.45,0.1,0.01,0.0,0.0
1381,0.0,0.02,0.47,0.06,0.09,0.0,0.05
2347,1.0,0.96,0.48,0.06,0.18,0.06,0.53
3097,0.0,0.02,0.45,0.03,0.06,0.12,0.02
1444,0.0,0.02,0.47,0.09,0.27,0.0,0.15
1179,0.0,0.01,0.46,0.01,0.02,0.0,0.01
3079,1.0,0.91,0.5,0.53,0.21,0.65,0.39
3099,0.0,0.02,0.46,0.03,0.02,0.0,0.02
1841,0.0,0.02,0.44,0.04,0.01,0.12,0.0
1171,0.0,0.02,0.45,0.09,0.04,0.18,0.02
549,0.0,0.15,0.49,0.06,0.23,0.0,0.06
2081,0.0,0.03,0.46,0.01,0.03,0.06,0.01
1077,1.0,0.76,0.49,0.42,0.26,0.24,0.21
4318,0.0,0.08,0.47,0.54,0.3,0.0,0.21
1789,0.0,0.08,0.45,0.05,0.01,0.06,0.01
4961,0.0,0.03,0.46,0.13,0.06,0.0,0.03
3844,0.0,0.03,0.44,0.01,0.03,0.06,0.0
410,0.0,0.05,0.46,0.03,0.06,0.06,0.02
811,0.0,0.02,0.47,0.05,0.03,0.0,0.04
4653,0.0,0.09,0.49,0.08,0.12,0.18,0.4
1455,0.0,0.17,0.46,0.02,0.05,0.0,0.07
3426,0.0,0.01,0.45,0.41,0.07,0.06,0.03
4093,1.0,0.15,0.49,0.58,0.25,0.24,0.34
1250,0.0,0.02,0.45,0.01,0.02,0.0,0.01
4264,1.0,0.92,0.51,0.87,0.41,0.71,0.73
2610,0.0,0.02,0.44,0.01,0.01,0.0,0.0
4480,0.0,0.07,0.45,0.03,0.04,0.06,0.02
2134,0.0,0.06,0.47,0.07,0.18,0.0,0.14
1827,0.0,0.07,0.47,0.29,0.12,0.06,0.04
1309,0.0,0.08,0.48,0.07,0.56,0.12,0.96
1243,0.0,0.02,0.46,0.16,0.05,0.06,0.0
2053,0.0,0.25,0.47,0.53,0.12,0.06,0.32
1504,0.0,0.03,0.46,0.05,0.11,0.12,0.04
3753,0.0,0.01,0.46,0.49,0.14,0.24,0.06
1183,0.0,0.01,0.45,0.12,0.06,0.12,0.0
2707,0.0,0.07,0.46,0.26,0.01,0.12,0.11
4167,0.0,0.02,0.46,0.02,0.02,0.0,0.02
1633,0.0,0.02,0.46,0.01,0.07,0.0,0.06
3768,0.0,0.01,0.45,0.01,0.03,0.0,0.0
4979,0.0,0.02,0.46,0.09,0.09,0.0,0.04
3573,0.0,0.01,0.45,0.03,0.05,0.06,0.01
1237,0.0,0.02,0.46,0.29,0.09,0.0,0.04
623,0.0,0.02,0.46,0.16,0.31,0.06,0.17
1123,0.0,0.01,0.46,0.02,0.03,0.12,0.0
38,0.0,0.09,0.47,0.07,0.37,0.18,0.58
3860,0.0,0.05,0.46,0.16,0.2,0.12,0.1
637,0.0,0.01,0.45,0.03,0.01,0.06,0.0
4566,0.0,0.01,0.46,0.04,0.01,0.06,0.01
4995,0.0,0.14,0.47,0.16,0.18,0.18,0.01
4571,0.0,0.03,0.46,0.03,0.14,0.0,0.08
2703,0.0,0.03,0.46,0.04,0.01,0.06,0.09
4337,1.0,0.96,0.49,0.05,0.57,0.12,0.96
2047,0.0,0.02,0.46,0.02,0.29,0.0,0.16
3180,0.0,0.01,0.48,0.03,0.19,0.0,0.84
717,0.0,0.01,0.46,0.04,0.08,0.12,0.04
3790,0.0,0.07,0.45,0.02,0.01,0.0,0.0
4559,0.0,0.01,0.46,0.01,0.16,0.06,0.08
458,0.0,0.01,0.45,0.02,0.06,0.0,0.0
1242,0.0,0.28,0.5,0.47,0.75,0.0,1.0
2306,0.0,0.16,0.48,0.31,0.13,0.35,0.14
446,0.0,0.02,0.46,0.09,0.12,0.18,0.06
134,0.0,0.02,0.46,0.04,0.06,0.0,0.03
2146,0.0,0.07,0.48,0.0,0.29,0.0,0.96
907,0.0,0.01,0.46,0.04,0.02,0.06,0.0
380,0.0,0.3,0.48,0.34,0.53,0.24,0.51
3995,0.0,0.06,0.46,0.09,0.07,0.06,0.01
729,0.0,0.05,0.46,0.04,0.02,0.06,0.0
3399,0.0,0.05,0.45,0.01,0.05,0.0,0.02
1151,0.0,0.01,0.44,0.0,0.01,0.06,0.0
1175,0.0,0.02,0.45,0.04,0.01,0.0,0.0
363,0.0,0.09,0.47,0.12,0.18,0.12,0.1
70,0.0,0.12,0.47,0.3,0.39,0.18,0.38
1515,0.0,0.02,0.46,0.02,0.06,0.06,0.02
4141,1.0,0.5,0.48,0.81,0.33,0.41,0.45
3582,0.0,0.02,0.46,0.05,0.01,0.0,0.01
1852,0.0,0.05,0.46,0.02,0.02,0.0,0.0
1510,0.0,0.42,0.49,0.46,0.18,0.35,0.28
1708,0.0,0.32,0.48,0.09,0.09,0.12,0.02
4695,0.0,0.02,0.45,0.01,0.05,0.06,0.0
3710,0.0,0.02,0.46,0.06,0.07,0.0,0.0
3926,0.0,0.01,0.45,0.09,0.05,0.06,0.01
1003,0.0,0.01,0.45,0.01,0.02,0.0,0.0
4922,0.0,0.02,0.45,0.05,0.02,0.06,0.0
1781,0.0,0.01,0.45,0.07,0.04,0.18,0.01
643,0.0,0.15,0.47,0.64,0.12,0.41,0.19
1384,0.0,0.01,0.46,0.39,0.04,0.18,0.23
1063,0.0,0.02,0.46,0.11,0.03,0.0,0.04
2737,0.0,0.03,0.47,0.08,0.12,0.0,0.06
2027,0.0,0.06,0.48,0.04,0.24,0.12,0.38
2316,0.0,0.11,0.43,0.03,0.29,0.0,0.91
4099,0.0,0.21,0.5,0.11,0.47,0.06,0.46
4466,0.0,0.06,0.48,0.23,0.21,0.06,0.32
2156,0.0,0.02,0.47,0.3,0.23,0.0,0.2
2061,0.0,0.1,0.48,0.05,0.06,0.0,0.02
3237,0.0,0.04,0.48,0.02,0.26,0.06,0.93
1940,0.0,0.01,0.46,0.02,0.06,0.0,0.02
1209,0.0,0.07,0.48,0.02,0.24,0.06,0.62
223,0.0,0.02,0.46,0.03,0.07,0.0,0.03
3321,0.0,0.01,0.46,0.11,0.11,0.06,0.05
3476,0.0,0.01,0.45,0.06,0.16,0.0,0.06
732,0.0,0.51,0.5,0.04,0.23,0.18,0.6
2270,0.0,0.03,0.46,0.22,0.4,0.06,0.24
4749,0.0,0.02,0.46,0.02,0.07,0.06,0.03
2614,1.0,0.71,0.54,0.6,0.7,0.53,1.0
1462,0.0,0.01,0.45,0.04,0.08,0.06,0.02
4842,0.0,0.06,0.46,0.2,0.17,0.12,0.07
1279,0.0,0.1,0.47,0.23,0.11,0.0,0.09
1303,0.0,0.03,0.46,0.08,0.12,0.06,0.08
4196,1.0,0.79,0.49,0.15,0.17,0.29,0.11
1071,0.0,0.02,0.46,0.02,0.06,0.18,0.03
3209,1.0,0.83,0.49,0.38,0.33,0.12,0.89
3973,1.0,0.73,0.5,0.13,0.17,0.12,0.42
3245,0.0,0.02,0.46,0.4,0.07,0.24,0.05
467,0.0,0.02,0.46,0.03,0.1,0.0,0.04
2863,0.0,0.05,0.47,0.27,0.35,0.0,0.27
4025,0.0,0.05,0.46,0.06,0.14,0.0,0.02
3690,0.0,0.03,0.46,0.5,0.13,0.12,0.07
3373,1.0,0.83,0.5,0.95,0.43,0.59,0.68
660,1.0,0.88,0.49,0.7,0.22,0.59,0.51
4661,0.0,0.02,0.45,0.07,0.04,0.06,0.0
3908,0.0,0.09,0.46,0.16,0.23,0.29,0.15
1473,0.0,0.74,0.52,0.24,0.65,0.24,1.0
1062,0.0,0.02,0.45,0.03,0.01,0.12,0.0
1328,0.0,0.01,0.47,0.03,0.08,0.12,0.06
2727,0.0,0.11,0.5,0.06,0.45,0.06,0.99
2899,0.0,0.01,0.45,0.03,0.03,0.0,0.0
3154,0.0,0.02,0.45,0.03,0.06,0.06,0.0
3537,0.0,0.06,0.47,0.12,0.22,0.12,0.13
1724,0.0,0.02,0.45,0.05,0.01,0.0,0.01
